MN771204.1, human/MN771204.1.fna,linear,10
EU577539.1, human/EU577539.1.fna,linear,10
MW890650.1, human/MW890650.1.fna,linear,10
OD964280.1, human/OD964280.1.fna,linear,10
OK577316.1, human/OK577316.1.fna,linear,10
MW705895.1, human/MW705895.1.fna,linear,10
OY696226.1, human/OY696226.1.fna,linear,10
OV368189.1, human/OV368189.1.fna,linear,10
KY925591.1, human/KY925591.1.fna,linear,10
ON415598.1, human/ON415598.1.fna,linear,10
FJ524337.1, human/FJ524337.1.fna,linear,10
OU590781.1, human/OU590781.1.fna,linear,10
OP607851.1, human/OP607851.1.fna,linear,10
MW911341.1, human/MW911341.1.fna,linear,10
MW275098.1, human/MW275098.1.fna,linear,10
ON121639.1, human/ON121639.1.fna,linear,10
OY092277.1, human/OY092277.1.fna,linear,10
OP803901.2, human/OP803901.2.fna,linear,10
MG670716.1, human/MG670716.1.fna,linear,10
OV504348.1, human/OV504348.1.fna,linear,10
OW783772.1, human/OW783772.1.fna,linear,10
ON130309.1, human/ON130309.1.fna,linear,10
JF933396.1, human/JF933396.1.fna,linear,10
OW814626.1, human/OW814626.1.fna,linear,10
ON609040.1, human/ON609040.1.fna,linear,10
OU287838.1, human/OU287838.1.fna,linear,10
MT741419.1, human/MT741419.1.fna,linear,10
OV920820.1, human/OV920820.1.fna,linear,10
MH172453.1, human/MH172453.1.fna,linear,10
OP264610.1, human/OP264610.1.fna,linear,10
GU071487.1, human/GU071487.1.fna,linear,10
CY172456.1, human/CY172456.1.fna,linear,10
MZ046841.1, human/MZ046841.1.fna,linear,10
OY480526.1, human/OY480526.1.fna,linear,10
KC921074.1, human/KC921074.1.fna,linear,10
OP294744.2, human/OP294744.2.fna,linear,10
MZ810150.1, human/MZ810150.1.fna,linear,10
MW719830.1, human/MW719830.1.fna,linear,10
OU181355.1, human/OU181355.1.fna,linear,10
MZ009923.1, human/MZ009923.1.fna,linear,10
OX750184.1, human/OX750184.1.fna,linear,10
OY641881.1, human/OY641881.1.fna,linear,10
OM193553.1, human/OM193553.1.fna,linear,10
OM754832.1, human/OM754832.1.fna,linear,10
AB623423.1, human/AB623423.1.fna,linear,10
CY188441.1, human/CY188441.1.fna,linear,10
OR418972.1, human/OR418972.1.fna,linear,10
MZ927700.1, human/MZ927700.1.fna,linear,10
OM341667.1, human/OM341667.1.fna,linear,10
OV197602.1, human/OV197602.1.fna,linear,10
OX425461.1, human/OX425461.1.fna,linear,10
OX890464.1, human/OX890464.1.fna,linear,10
OP943988.1, human/OP943988.1.fna,linear,10
MW993730.1, human/MW993730.1.fna,linear,10
OK436352.1, human/OK436352.1.fna,linear,10
LC420598.1, human/LC420598.1.fna,linear,10
MZ759216.1, human/MZ759216.1.fna,linear,10
OY159256.1, human/OY159256.1.fna,linear,10
OP748459.1, human/OP748459.1.fna,linear,10
OK409300.1, human/OK409300.1.fna,linear,10
OK234365.1, human/OK234365.1.fna,linear,10
HQ618895.1, human/HQ618895.1.fna,linear,10
OL757121.1, human/OL757121.1.fna,linear,10
MN569544.1, human/MN569544.1.fna,linear,10
MH599078.1, human/MH599078.1.fna,linear,10
JX129861.1, human/JX129861.1.fna,linear,10
OW059914.1, human/OW059914.1.fna,linear,10
OY244415.1, human/OY244415.1.fna,linear,10
FJ797816.1, human/FJ797816.1.fna,linear,10
MZ841359.1, human/MZ841359.1.fna,linear,10
OM566509.1, human/OM566509.1.fna,linear,10
OL865738.1, human/OL865738.1.fna,linear,10
OW431562.1, human/OW431562.1.fna,linear,10
OX017359.1, human/OX017359.1.fna,linear,10
OY001502.1, human/OY001502.1.fna,linear,10
OQ180733.1, human/OQ180733.1.fna,linear,10
ON438448.1, human/ON438448.1.fna,linear,10
OV017159.1, human/OV017159.1.fna,linear,10
OP992018.1, human/OP992018.1.fna,linear,10
ON775084.1, human/ON775084.1.fna,linear,10
MZ022402.1, human/MZ022402.1.fna,linear,10
OV217845.1, human/OV217845.1.fna,linear,10
OV847257.1, human/OV847257.1.fna,linear,10
OX336086.1, human/OX336086.1.fna,linear,10
OX213155.1, human/OX213155.1.fna,linear,10
MW840793.1, human/MW840793.1.fna,linear,10
DQ323248.1, human/DQ323248.1.fna,linear,10
OX734713.1, human/OX734713.1.fna,linear,10
HQ994260.1, human/HQ994260.1.fna,linear,10
